;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
81;0x;a;31;0;0;0;a;76;83;33;0;7;9f;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;62;24;0;0;fd;3;0;34;0;dd;37;41;64
82;0x;a;30;0;0;0;a;d6;6e;33;0;be;8a;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;50;24;0;0;fd;3;0;34;0;da;37;41;64
83;0x;a;2f;0;0;0;a;81;6d;33;0;6e;89;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;50;24;0;0;fd;3;0;34;0;d7;37;41;64
84;0x;a;2d;0;0;0;a;3a;6a;33;0;35;86;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;62;24;0;0;fd;3;0;34;0;d1;37;41;64
85;0x;a;2d;0;0;0;a;3a;6a;33;0;35;86;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;62;24;0;0;fd;3;0;34;0;d1;37;41;64
86;0x;a;2c;0;0;0;a;80;60;33;0;a4;7c;32;0;3c;f6;ff;ff;20;f9;ff;ff;6b;10;0;0;59;24;0;0;fd;3;0;34;0;ce;37;41;64
87;0x;a;2b;0;0;0;a;da;65;33;0;e8;81;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;59;24;0;0;fd;3;0;34;0;cb;37;41;64
88;0x;a;2a;0;0;0;a;d3;57;33;0;1c;74;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;59;24;0;0;fd;3;0;34;0;c8;37;41;64
89;0x;a;29;0;0;0;a;a3;5f;33;0;cb;7b;32;0;3c;f6;ff;ff;20;f9;ff;ff;8a;10;0;0;50;24;0;0;fe;3;0;34;0;c5;37;41;64
90;0x;a;28;0;0;0;a;f6;5d;33;0;25;7a;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;50;24;0;0;ff;3;0;34;0;c2;37;41;64
91;0x;a;27;0;0;0;a;ed;51;33;0;4e;6e;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;59;24;0;0;fd;3;0;34;0;bf;37;41;64
92;0x;a;26;0;0;0;a;c5;60;33;0;e8;7c;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;50;24;0;0;ff;3;0;34;0;bc;37;41;64
93;0x;a;25;0;0;0;a;18;5f;33;0;42;7b;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;47;24;0;0;fd;3;0;34;0;b9;37;41;64
94;0x;a;24;0;0;0;a;e0;50;33;0;46;6d;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;47;24;0;0;fe;3;0;34;0;b6;37;41;64
95;0x;a;23;0;0;0;a;96;45;33;0;2c;62;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;47;24;0;0;fe;3;0;34;0;b3;37;41;64
96;0x;a;22;0;0;0;a;e4;4c;33;0;5b;69;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;47;24;0;0;ff;3;0;34;0;ad;37;41;64
97;0x;a;20;0;0;0;a;a7;3d;33;0;5e;5a;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;50;24;0;0;fd;3;0;34;0;a4;37;41;64
98;0x;a;20;0;0;0;a;a7;3d;33;0;5e;5a;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;50;24;0;0;fd;3;0;34;0;a4;37;41;64
99;0x;a;1f;0;0;0;a;8f;3c;33;0;4b;59;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;59;24;0;0;ff;3;0;34;0;a1;37;41;64
100;0x;a;1e;0;0;0;a;7f;3d;33;0;37;5a;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;59;24;0;0;fd;3;0;34;0;9e;37;41;64
101;0x;a;1d;0;0;0;a;5f;3f;33;0;f;5c;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;59;24;0;0;fe;3;0;34;0;9b;37;41;64
102;0x;a;1c;0;0;0;a;42;3a;33;0;7;57;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;59;24;0;0;fe;3;0;34;0;98;37;41;64
